,State,School,Num Applications,In State Application %,Out of State %,Men Application %,Women Application %,Num Matriculants,In State Matriculant %,Out of State Matriculant %,Men Matriculant %,Women Matriculant %,Average GPA,Average MCAT,label
118,PR,Ponce,1612.0,34.1,65.9,43.1,56.8,180.0,70,30,37.8,62.2,3.5,499.0,1
119,PR,Puerto Rico,729.0,44.7,55.3,46.4,53.5,102.0,98,2,52.9,47.1,3.86,506.0,3
120,PR,San Juan Bautista,1242.0,34.5,65.5,42.9,56.9,60.0,63.3,36.7,43.3,56.7,3.71,500.0,1
121,RI,Brown-Alpert,8475.0,1.1,98.9,43.3,56.5,144.0,16,84,47.2,52.8,3.83,516.0,0
122,SC,MU South Carolina,3954.0,13.9,86.1,41.5,58.5,171.0,83,17,40.4,59.6,3.7,511.0,1
123,SC,South Carolina Columbia,3258.0,14.3,85.7,43.5,56.4,100.0,74,26,45,55,3.71,508.0,1
124,SC,South Carolina Greenville,4740.0,10.5,89.5,41.2,58.7,105.0,58.1,41.9,44.8,55.2,3.725,509.0,1
125,SD,South Dakota-Sanford,868.0,15.9,84.1,48.6,51.2,71.0,73.2,26.8,47.9,52.1,3.82,508.0,3
126,TN,East Tennessee-Quillen,3811.0,17,83,44,55.9,78.0,84.6,15.4,55.1,44.9,3.75,510.0,3
127,TN,Meharry,8084.0,4.3,95.7,36.1,63.7,115.0,23.5,76.5,40.9,59.1,3.46,503.0,2
128,TN,Tennessee,2776.0,26,74,45.2,54.7,177.0,92.1,7.9,49.7,50.3,3.89,512.0,3
129,TN,Vanderbilt,7268.0,4.7,95.3,46.7,53.2,95.0,10.5,89.5,47.4,52.6,3.95,521.0,0
130,TX,Baylor,5877.0,70.4,29.6,46.5,53.4,185.0,83.8,16.2,43.2,56.8,3.92,518.0,3
131,TX,Houston-Fertitta,5343.0,78.6,21.4,46,53.9,60.0,98.3,1.7,36.7,63.3,3.59,506.0,1
132,TX,TCU-Burnett,6328.0,21.5,78.5,46.6,53.3,60.0,23.3,76.7,36.7,63.3,3.56,508.0,2
133,TX,Texas A&M,5965.0,74.5,25.5,47,52.9,205.0,87.3,12.7,48.8,51.2,3.86,513.0,3
134,TX,Texas Tech-Lubbock,5251.0,80.3,19.7,46.9,52.9,180.0,91.1,8.9,55,45,3.9,512.0,3
135,TX,Texas Tech-Foster,4800.0,80.9,19.1,46.8,53.1,124.0,93.5,6.5,49.2,50.8,3.78,509.0,3
136,TX,UT Austin-Dell,5576.0,77.7,22.3,45.8,54.2,50.0,96,4,44,56,3.78,514.0,3
137,TX,UT Houston-McGovern,6007.0,74.5,25.5,46.4,53.5,240.0,95.4,4.6,49.2,50.8,3.81,511.0,3
138,TX,UT Medical Branch-Sealy,5511.0,79.7,20.3,46.6,53.3,230.0,93,7,48.3,51.7,3.8,510.0,3
139,TX,UT Rio Grande Valley,4729.0,81.8,18.2,46.9,53,55.0,96.4,3.6,54.5,45.5,3.69,508.0,1
140,TX,UT San Antonio-Long,5783.0,76.4,23.6,46.7,53.2,226.0,84.5,15.5,54.4,45.6,3.87,517.6,3
141,TX,UT Southwestern,5877.0,73.5,26.5,46.8,53.1,242.0,89.3,10.7,43.4,56.6,3.83,517.0,3
142,UT,Utah-Eccles,3918.0,15.6,84.4,51.1,48.6,125.0,75.2,24.8,43.2,56,3.87,514.0,3
143,VA,Eastern Virginia,7627.0,15.6,84.4,45.2,54.7,151.0,51,49,47.7,52.3,3.5,511.0,2
144,VA,Virginia,5894.0,15.9,84.1,47.6,52.4,150.0,50.7,49.3,50.7,49.3,3.86,518.58,0
145,VA,Virginia Commonwealth,7435.0,16.4,83.6,45.7,54.2,186.0,52.7,47.3,37.6,62.4,3.7,512.0,2
146,VA,Virginia Tech Carilion,6914.0,12.1,87.9,46,53.9,50.0,24,76,36,64,3.6,512.0,2
147,VT,Vermont-Larner,9338.0,1,99,44.3,55.5,124.0,29,71,38.7,61.3,3.69,513.0,2
148,WA,U Washington,7630.0,13.2,86.8,44,55.8,270.0,52.6,47.4,36.7,63,3.75,511.0,3
149,WA,Washington State-Floyd,1443.0,58.1,41.9,43,56.6,80.0,91.3,8.8,38.8,61.3,3.55,507.4,1
150,WI,MC Wisconsin,10045.0,7.2,92.8,47.8,52.1,265.0,55.5,44.5,41.1,58.9,3.75,511.0,3
151,WI,University of Wisconsin School of Medicine and Public Health,5633.0,12.7,87.3,48.3,51.6,173.0,68.8,31.2,43.4,56.6,3.73,511.0,3
152,WV,Marshall-Edwards,1916.0,7.9,92.1,43.9,55.9,80.0,73.8,26.3,51.3,48.8,3.61,502.0,1
153,WV,West Virginia,4742.0,3.5,96.5,50.6,49.3,112.0,42,58,49.1,50.9,3.75,511.0,2
